;id;polygon;ignition_day;num_days;fire_area;increase
20;39520;[[67.17982515, 132.48192838], [67.18259845, 132.45302059], [67.19244733, 132.45922992], [67.18966642, 132.48814532], [67.17982515, 132.48192838]];2020-08-26;374;2.526 км²;0.0
21;39521;[[67.20523099, 132.65073259], [67.21084624, 132.59334427], [67.22065896, 132.59959167], [67.21784372, 132.62832014], [67.21502848, 132.65699141], [67.20523099, 132.65073259]];2020-08-26;374;5.018 км²;0.0
22;39522;[[67.53360207, 132.76516221], [67.53396356, 132.75338559], [67.53658051, 132.71909458], [67.60226769, 132.60762209], [67.61316162, 132.61330985], [67.61036927, 132.65070541], [67.56311386, 132.78440215], [67.53360207, 132.76516221]];2020-08-26;374;51.371 км²;0.0
23;39524;[[67.41667318, 133.54673534], [67.42761659, 133.54067449], [67.51278679, 133.60818582], [67.50996392, 133.63604455], [67.50713914, 133.6638575], [67.4901875, 133.66649685], [67.41930724, 133.58389441], [67.41667318, 133.54673534]];2020-08-26;374;49.543 км²;0.0
24;39568;[[45.91008455, 38.02623029], [45.91730672, 37.99040738], [45.92758865, 37.99461419], [45.92398948, 38.0125242], [45.92038172, 38.0304628], [45.91008455, 38.02623029]];2020-08-26;374;3.898 км²;0.0
25;39586;[[61.99733665, 120.99238442], [62.00615858, 120.98711925], [62.00865244, 121.0061775], [61.99982956, 121.01145219], [61.99733665, 120.99238442]];2020-08-27;373;1.157 км²;0.0
26;39631;[[61.72828723, 133.55425355], [61.73828839, 133.54375365], [61.74462271, 133.57060911], [61.73976202, 133.58053078], [61.73462915, 133.58109377], [61.73090964, 133.57542169], [61.72828723, 133.55425355]];2020-08-27;373;3.339 км²;0.0
27;39707;[[62.46880394, 127.81381949], [62.47337113, 127.74130762], [62.4797188, 127.71305785], [62.49392414, 127.67959976], [62.50597668, 127.68284798], [62.51802635, 127.68616104], [62.52782667, 127.72623498], [62.52558937, 127.76284652], [62.52335492, 127.79925403]];2020-08-28;372;45.292 км²;0.0
28;39740;[[60.26408681, 148.50249863], [60.27749721, 148.48344806], [60.28568738, 148.47613153], [60.30501457, 148.53270343], [60.29165367, 148.55176923], [60.28364855, 148.55868918], [60.26408681, 148.50249863]];2020-08-29;371;18.803 км²;0.0
29;39766;[[52.41755419, 43.0461455], [52.41792618, 42.98079382], [52.43540252, 42.98060537], [52.43595947, 42.98864734], [52.43580121, 43.05409897], [52.41837817, 43.05399047], [52.41755419, 43.0461455]];2020-08-29;371;12.024 км²;0.0
30;39926;[[54.38480969, 48.22838857], [54.39357547, 48.22436259], [54.39591293, 48.2394955], [54.38714906, 48.24352528], [54.38480969, 48.22838857]];2020-08-31;369;1.173 км²;0.0
31;40024;[[45.8077422, 40.23346083], [45.81287486, 40.21054497], [45.82435508, 40.21573115], [45.81923859, 40.23864891], [45.8077422, 40.23346083]];2020-08-31;369;2.742 км²;0.0
32;40434;[[61.74480363, 127.37706365], [61.75642851, 127.3617364], [61.76221256, 127.35828415], [61.77392942, 127.39852726], [61.78558715, 127.43863495], [61.78124704, 127.45438176], [61.76865519, 127.46608227], [61.75664674, 127.46288814], [61.75323782, 127.45932979]];2020-09-03;366;20.48 км²;0.0
